Class,Methods
anyKeyPress,1
getKeyState,1
isPressed,1
keySet,1
isPressedTest,1
updateTest,1
eventBossDead,1
calculateCorners,1
checkTileMapCollision,2
contains,2
getCHeight,1
getCWidth,1
getHeight,2
getRectangle,1
getWidth,2
intersects,2
isFacingRight,1
notOnScreen,1
setDown,1
setJumping,2
setLeft,1
setMapPosition,1
setRight,1
setUp,1
gainLife,1
getHealth,3
getLives,3
getMaxHealth,1
getNextPosition,1
getScore,1
getTime,3
getTimeToString,1
increaseScore,1
isDashing,1
loseLife,1
reset,2
setAttacking,1
setCharging,1
setDashing,1
setDead,1
setEmote,1
setHealth,2
setLives,2
setTeleporting,1
setTime,2
PlayerSave,1
TestGetTimeToString,1
TestSetAttacking,1
isOpened,1
setClosed,1
setOpened,1
setOpening,1
setPermanent,1
setType,1
setActive,1
getType,2
fixBounds,1
getNumCols,1
getNumRows,1
getTileSize,1
isShaking,1
loadMap,1
loadTiles,1
setBounds,1
setShaking,1
setTween,1
begin,1
sety,1
draw,"AcidState,Background,BasicState,Explosion,GameState,GameStateManager,HowtoPlay,HUD,Level4State,MapObject,MenuState,OptionsState,PauseState,Player,Spirit,TileMap,Title,Ufo,XhelBat,Zogu"
handleInput,"AcidState,BasicState,GameState,HowtoPlay,Level4State,MenuState,OptionsState,PauseState"
update,"AcidState,Animation,Background,BasicState,Enemy,EnemyProjectile,EnergyParticle,Explosion,FireBall,GameState,GameStateManager,Keys,Level3State,Level4State,LevelTest,OptionsState,PauseState,Player,Portal,RedEnergy,Spirit,Teleport,TileMap,Title,Ufo,XhelBat,Zogu"
getCount,Animation
getFrame,Animation
getImage,"Animation,Tile"
hasPlayed,Animation
hasPlayedOnce,Animation
setDelay,Animation
setFrame,Animation
setFrames,Animation
setNumFrames,Animation
getx,"Background,MapObject,TileMap"
gety,"Background,MapObject,TileMap"
setDimensions,Background
setPosition,"Background,JukeBox,MapObject,TileMap"
setScale,Background
setVector,"Background,MapObject"
main,"BatBatGame,BatBatSpring"
run,"BatBatGame,GamePanel"
getEnergyParticle,Content
getExplosions,Content
getRedEnergy,Content
getUfo,Content
getXhelbat,Content
getZogu,Content
load,"Content,JukeBox"
valueOf,"Enemy.EnemyType,Flyer.FlyerType"
values,"Enemy.EnemyType,Flyer.FlyerType"
getDamage,"Enemy,EnemyProjectile"
hit,"Enemy,Player"
isDead,Enemy
shouldRemove,"Enemy,EnemyProjectile,EnergyParticle,Explosion,FireBall,Title"
setHit,"EnemyProjectile,FireBall"
isHit,FireBall
addNotify,GamePanel
keyPressed,GamePanel
keyReleased,GamePanel
keyTyped,GamePanel
init,"GameState,JukeBox,Level1State,Level2State,Level3State,Level4State,LevelTest,Player,PlayerSave,PlayerSaveTest"
loadState,"GameStateManager,GameStateManagerTest"
setPaused,GameStateManager
setState,GameStateManager
close,JukeBox
getFrames,JukeBox
getPosition,JukeBox
loop,"JukeBox,JukeBox,JukeBox,JukeBox"
play,"JukeBox,JukeBox"
resume,JukeBox
stop,"JukeBox,Player"
anyKeyPress,Keys
getKeyState,Keys
isPressed,Keys
keySet,Keys
isPressedTest,KeysTest
updateTest,KeysTest
eventBossDead,Level4State
calculateCorners,MapObject
checkTileMapCollision,"MapObject,MapObjectTest"
contains,"MapObject,MapObject"
getCHeight,MapObject
getCWidth,MapObject
getHeight,"MapObject,TileMap"
getRectangle,MapObject
getWidth,"MapObject,TileMap"
intersects,"MapObject,MapObject"
isFacingRight,MapObject
notOnScreen,MapObject
setDown,MapObject
setJumping,"MapObject,Player"
setLeft,MapObject
setMapPosition,MapObject
setRight,MapObject
setUp,MapObject
gainLife,Player
getHealth,"Player,PlayerSave,PlayerSaveTest"
getLives,"Player,PlayerSave,PlayerSaveTest"
getMaxHealth,Player
getNextPosition,Player
getScore,Player
getTime,"Player,PlayerSave,PlayerSaveTest"
getTimeToString,Player
increaseScore,Player
isDashing,Player
loseLife,Player
reset,"Player,Title"
setAttacking,Player
setCharging,Player
setDashing,Player
setDead,Player
setEmote,Player
setHealth,"Player,PlayerSave"
setLives,"Player,PlayerSave"
setTeleporting,Player
setTime,"Player,PlayerSave"
PlayerSave,PlayerSaveTest
TestGetTimeToString,PlayerTest
TestSetAttacking,PlayerTest
isOpened,Portal
setClosed,Portal
setOpened,Portal
setOpening,Portal
setPermanent,RedEnergy
setType,RedEnergy
setActive,Spirit
getType,"Tile,TileMap"
fixBounds,TileMap
getNumCols,TileMap
getNumRows,TileMap
getTileSize,TileMap
isShaking,TileMap
loadMap,TileMap
loadTiles,TileMap
setBounds,TileMap
setShaking,TileMap
setTween,TileMap
begin,Title
sety,Title
